Seq,Task ID,Category,Implementation Status,Requirement Ref,Screen,Route,Page Entry,Depends On,Expected Files,Detail File,Detail File Exists,Verify,Priority,wave_id
1,INFRA-DESIGN-TOKENS,INFRA,IMPLEMENT,REQ-NF-006; REQ-NF-023,-,-,-,-,"`tailwind.config.ts`(신규), `src/app/globals.css`(수정)",TASK-INFRA-DESIGN-TOKENS.md,YES,코드리뷰,P0,W01
2,INFRA-LAYOUT-SHELL,INFRA,IMPLEMENT,REQ-FUNC-064; REQ-FUNC-065; REQ-FUNC-079,COMMON,-,src/app/layout.tsx,INFRA-DESIGN-TOKENS,"`src/app/layout.tsx`(수정), `src/components/layout/Header.tsx`(신규), `src/components/layout/Footer.tsx`(신규)",TASK-INFRA-LAYOUT-SHELL.md,YES,MANUAL-RESPONSIVE-CHECK; MANUAL-A11Y-CHECK,P0,W01
3,INFRA-CLIENT-STATE,INFRA,IMPLEMENT(축소),REQ-FUNC-068; REQ-FUNC-043,-,-,-,INFRA-DESIGN-TOKENS,"`src/lib/client/favorites.ts`(신규), `src/components/ui/Toast.tsx`(신규)",TASK-INFRA-CLIENT-STATE.md,YES,코드리뷰; E2E-PUBLIC-SMOKE,P1,W01
4,INFRA-OUTBOUND-LINK,INFRA,IMPLEMENT,REQ-FUNC-016; REQ-FUNC-018; REQ-FUNC-024; REQ-FUNC-026; REQ-FUNC-049; REQ-FUNC-077,-,-,-,-,`src/lib/outbound-link.ts`(신규),TASK-INFRA-OUTBOUND-LINK.md,YES,E2E-TRAVEL-TOOLS; 코드리뷰,P0,W01
5,INFRA-CONTACT-DETECTION,INFRA,IMPLEMENT,REQ-FUNC-032,-,-,-,-,`src/lib/contact-detection.ts`(신규),TASK-INFRA-CONTACT-DETECTION.md,YES,UNIT-CONTACT-DETECTION,P0,W01
6,INFRA-AUTH-GUARD,INFRA,IMPLEMENT,REQ-FUNC-027; REQ-FUNC-028; REQ-NF-014; REQ-NF-015,-,-,-,DB-SCHEMA-BASE; DB-RLS-BASE,"`src/lib/auth/session.ts`(신규), `src/lib/auth/guards.ts`(신규)",TASK-INFRA-AUTH-GUARD.md,YES,TEST-RLS-BASIC; 코드리뷰,P0,W03
7,INFRA-NOT-FOUND-ERROR,INFRA,IMPLEMENT,REQ-FUNC-078,-,*,src/app/not-found.tsx; src/app/error.tsx,INFRA-LAYOUT-SHELL,"`src/app/not-found.tsx`(신규), `src/app/error.tsx`(신규)",TASK-INFRA-NOT-FOUND-ERROR.md,YES,E2E-PUBLIC-SMOKE; 코드리뷰,P1,W01
8,INFRA-PLAYWRIGHT-CONFIG,INFRA,IMPLEMENT,-,-,-,-,-,"`playwright.config.ts`(신규), `package.json`(devDependency 추가)",TASK-INFRA-PLAYWRIGHT-CONFIG.md,YES,CI-PIPELINE,P0,W01
9,DATA-DESTINATIONS,DATA,IMPLEMENT,REQ-FUNC-004; REQ-FUNC-008; REQ-NF-026,-,-,-,-,`src/data/destinations.ts`(신규),TASK-DATA-DESTINATIONS.md,YES,코드리뷰; PAGE-SCR001,P0,W02
10,DATA-SAFETY,DATA,IMPLEMENT,REQ-FUNC-046; REQ-FUNC-047; REQ-FUNC-048; REQ-FUNC-052; REQ-FUNC-053; REQ-NF-027,-,-,-,-,`src/data/safety.ts`(신규),TASK-DATA-SAFETY.md,YES,코드리뷰; SCR-001-SAFETY-TAB,P0,W02
11,DATA-REPRESENTATIVE,DATA,IMPLEMENT,REQ-FUNC-057; REQ-FUNC-058; REQ-FUNC-059; REQ-FUNC-060; REQ-FUNC-061,-,-,-,-,`src/data/profile.ts`(신규),TASK-DATA-REPRESENTATIVE.md,YES,코드리뷰; PAGE-SCR002,P0,W02
12,DB-SCHEMA-BASE,DB,IMPLEMENT,-,-,-,-,-,`supabase/migrations/0001_schema_base.sql`(신규),TASK-DB-SCHEMA-BASE.md,YES,TEST-RLS-BASIC,P0,W03
13,DB-RLS-BASE,DB,IMPLEMENT,REQ-FUNC-044; REQ-NF-013,-,-,-,DB-SCHEMA-BASE,`supabase/migrations/0002_rls_base.sql`(신규),TASK-DB-RLS-BASE.md,YES,TEST-RLS-BASIC,P0,W03
14,DB-ACCESS,DB,IMPLEMENT,REQ-NF-012; REQ-NF-016,-,-,-,DB-SCHEMA-BASE; DB-RLS-BASE,"`src/lib/supabase/client.ts`(신규), `src/lib/supabase/server.ts`(신규), `src/lib/data/*.ts`(신규)",TASK-DB-ACCESS.md,YES,RELEASE-VERCEL-SUPABASE-CHECK; 코드리뷰,P0,W03
15,DB-SEED-BASE,DB,IMPLEMENT(축소),-,-,-,-,DB-SCHEMA-BASE,`supabase/seed.sql`(신규),TASK-DB-SEED-BASE.md,YES,TEST-RLS-BASIC,P1,W03
16,API-MATE-POST,API,IMPLEMENT,REQ-FUNC-031; REQ-FUNC-037; REQ-FUNC-038,SCR-003; SCR-004,/travel-tools; /mates,src/app/travel-tools/actions/mate-post.ts; src/app/mates/actions/mate-post.ts,DB-ACCESS; INFRA-CONTACT-DETECTION; INFRA-AUTH-GUARD,"`src/app/travel-tools/actions/mate-post.ts`(신규), `src/app/mates/actions/mate-post.ts`(신규)",TASK-API-MATE-POST.md,YES,UNIT-MATE-STATE; E2E-MATE-AUTH,P0,W03
17,API-MATE-APPLICATION,API,IMPLEMENT,REQ-FUNC-034; REQ-FUNC-035; REQ-FUNC-036; REQ-FUNC-043,SCR-004; SCR-005,/mates; /account,src/app/mates/actions/mate-application.ts,DB-ACCESS; INFRA-AUTH-GUARD,`src/app/mates/actions/mate-application.ts`(신규),TASK-API-MATE-APPLICATION.md,YES,UNIT-MATE-STATE; TEST-RLS-BASIC,P0,W03
18,API-MATE-REPORT,API,IMPLEMENT,REQ-FUNC-039; REQ-FUNC-041,SCR-004; SCR-005,/mates; /account,src/app/mates/actions/report.ts,DB-ACCESS; INFRA-AUTH-GUARD,`src/app/mates/actions/report.ts`(신규),TASK-API-MATE-REPORT.md,YES,TEST-RLS-BASIC; E2E-MATE-AUTH,P0,W04
19,API-MATE-BLOCK,API,IMPLEMENT,REQ-FUNC-040,SCR-004; SCR-005,/mates; /account,src/app/mates/actions/block.ts,DB-ACCESS; INFRA-AUTH-GUARD,`src/app/mates/actions/block.ts`(신규),TASK-API-MATE-BLOCK.md,YES,TEST-RLS-BASIC,P0,W04
20,API-ACCOUNT-PROFILE,API,IMPLEMENT,REQ-FUNC-028; REQ-FUNC-029; REQ-FUNC-066,SCR-005,/account,src/app/account/actions/profile.ts,DB-ACCESS; INFRA-AUTH-GUARD,`src/app/account/actions/profile.ts`(신규),TASK-API-ACCOUNT-PROFILE.md,YES,E2E-MATE-AUTH,P0,W04
21,API-ADMIN-SETTINGS,API,IMPLEMENT,REQ-FUNC-077,SCR-005,/account,src/app/account/actions/admin-settings.ts,DB-ACCESS; INFRA-AUTH-GUARD; INFRA-OUTBOUND-LINK,`src/app/account/actions/admin-settings.ts`(신규),TASK-API-ADMIN-SETTINGS.md,YES,TEST-RLS-BASIC; 코드리뷰,P0,W04
